year,median_zhvi,median_income,mortgage_rate,median_monthly_payment,median_payment_burden_pct,median_price_to_income
2015,134033.0,47243.0,3.85,503.0,12.93,2.87
2016,140439.0,48457.0,3.65,514.0,12.95,2.95
2017,145957.0,49996.0,3.99,557.0,13.46,2.94
2018,153404.0,51428.0,4.54,625.0,14.72,3.01
2019,161338.0,54374.0,3.94,611.0,13.65,3.0
2020,173329.0,56267.0,3.11,593.0,12.84,3.13
2021,197361.0,57728.0,2.96,662.0,13.91,3.45
2022,221238.0,61968.0,5.34,988.0,19.28,3.6
2023,226801.0,64058.0,6.81,1184.0,22.39,3.58
2024,235946.0,67880.0,6.72,1221.0,21.84,3.52
