county_fips,county,state,annual_zhvi_2015,annual_zhvi_2024,median_household_income_2015,median_household_income_2024,payment_burden_2015_pct,payment_burden_2024_pct,zhvi_growth_pct,income_growth_pct,payment_growth_pct,burden_change_pp
01001,Autauga County,AL,164537.87,249070.6,56580.0,78840.0,13.09,19.61,51.38,39.34,108.8,6.52
01003,Baldwin County,AL,199569.13,379290.19,52387.0,82519.0,17.15,28.54,90.05,57.52,162.15,11.39
01007,Bibb County,AL,145398.38,220407.42,40767.0,60359.0,16.05,22.67,51.59,48.06,109.09,6.62
01009,Blount County,AL,143180.66,230252.47,50487.0,69371.0,12.76,20.61,60.81,37.4,121.81,7.84
01013,Butler County,AL,98016.36,123801.21,33868.0,47673.0,13.03,16.12,26.31,40.76,74.22,3.1
01015,Calhoun County,AL,114936.56,160839.45,42091.0,53533.0,12.29,18.65,39.94,27.18,93.02,6.36
01017,Chambers County,AL,88769.52,138128.84,35560.0,51067.0,11.24,16.79,55.6,43.61,114.63,5.56
01019,Cherokee County,AL,130346.39,219032.23,39144.0,61632.0,14.99,22.06,68.04,57.45,131.78,7.08
01021,Chilton County,AL,124829.04,211887.91,42767.0,66063.0,13.14,19.91,69.74,54.47,134.13,6.77
01027,Clay County,AL,101579.76,168978.93,38908.0,53550.0,11.75,19.59,66.35,37.63,129.45,7.84
01029,Cleburne County,AL,114199.32,216742.21,42136.0,62370.0,12.2,21.57,89.79,48.02,161.79,9.38
01031,Coffee County,AL,121616.77,182822.23,46858.0,71584.0,11.68,15.86,50.33,52.77,107.35,4.17
01037,Coosa County,AL,122096.11,191228.38,36078.0,53054.0,15.23,22.38,56.62,47.05,116.03,7.14
01039,Covington County,AL,100235.23,153211.51,36355.0,53576.0,12.41,17.75,52.85,47.37,110.83,5.34
01041,Crenshaw County,AL,94518.7,136033.59,36759.0,51238.0,11.57,16.48,43.92,39.39,98.51,4.91
01043,Cullman County,AL,142902.55,239891.46,39290.0,64722.0,16.37,23.01,67.87,64.73,131.55,6.64
01045,Dale County,AL,102692.26,161229.84,45294.0,58359.0,10.2,17.15,57.0,28.84,116.56,6.95
01047,Dallas County,AL,92334.06,91719.9,29682.0,41409.0,14.0,13.75,-0.67,39.51,37.01,-0.25
01049,De Kalb County,AL,104547.08,202654.94,37305.0,54180.0,12.61,23.22,93.84,45.24,167.37,10.61
01051,Elmore County,AL,165593.11,254019.38,53548.0,80024.0,13.92,19.71,53.4,49.44,111.59,5.79
01053,Escambia County,AL,91228.63,147009.66,36840.0,56963.0,11.15,16.02,61.14,54.62,122.27,4.88
01055,Etowah County,AL,99396.03,171827.49,42145.0,57284.0,10.61,18.62,72.87,35.92,138.45,8.01
01057,Fayette County,AL,86684.55,145276.05,37085.0,54089.0,10.52,16.67,67.59,45.85,131.16,6.15
01059,Franklin County,AL,104058.38,188321.99,38535.0,56059.0,12.15,20.86,80.98,45.48,149.63,8.7
01063,Greene County,AL,98224.71,136277.46,25398.0,35813.0,17.41,23.62,38.74,41.01,91.37,6.22
01065,Hale County,AL,116109.68,177411.97,35470.0,50041.0,14.73,22.01,52.8,41.08,110.76,7.28
01067,Henry County,AL,127419.59,189988.52,42501.0,62086.0,13.49,19.0,49.1,46.08,105.66,5.5
01069,Houston County,AL,124189.33,191382.28,43568.0,59056.0,12.83,20.12,54.11,35.55,112.56,7.29
01071,Jackson County,AL,111870.6,193754.87,40201.0,56900.0,12.52,21.14,73.2,41.54,138.89,8.61
01073,Jefferson County,AL,124432.38,216629.8,48415.0,69346.0,11.57,19.39,74.09,43.23,140.13,7.83
01075,Lamar County,AL,91283.09,142182.42,36520.0,54598.0,11.25,16.17,55.76,49.5,114.84,4.92
01077,Lauderdale County,AL,132917.48,227078.35,43008.0,67098.0,13.91,21.01,70.84,56.01,135.65,7.1
01079,Lawrence County,AL,129663.26,216809.78,41771.0,68936.0,13.97,19.53,67.21,65.03,130.64,5.55
01081,Lee County,AL,185395.02,327379.58,46442.0,70233.0,17.97,28.94,76.58,51.23,143.57,10.97
01085,Lowndes County,AL,125927.63,146585.56,31117.0,46580.0,18.21,19.54,16.4,49.69,60.56,1.32
01089,Madison County,AL,170109.63,313741.13,59117.0,89197.0,12.95,21.84,84.43,50.88,154.39,8.89
01091,Marengo County,AL,123178.63,157329.64,35389.0,49716.0,15.67,19.65,27.72,40.48,76.17,3.98
01093,Marion County,AL,107296.57,166990.07,34977.0,52965.0,13.81,19.57,55.63,51.43,114.67,5.77
01095,Marshall County,AL,128892.76,236423.8,40599.0,64913.0,14.29,22.61,83.43,59.89,153.0,8.32
01097,Mobile County,AL,111188.47,198472.7,42530.0,60321.0,11.77,20.43,78.5,41.83,146.21,8.66
01101,Montgomery County,AL,108875.62,162791.86,42666.0,61102.0,11.49,16.54,49.52,43.21,106.24,5.05
01103,Morgan County,AL,130447.54,229231.96,47234.0,68601.0,12.43,20.74,75.73,45.24,142.38,8.31
01107,Pickens County,AL,101232.35,134326.2,33160.0,48960.0,13.74,17.03,32.69,47.65,83.02,3.29
01111,Randolph County,AL,114752.27,192426.7,37333.0,54403.0,13.83,21.96,67.69,45.72,131.3,8.12
01113,Russell County,AL,108629.44,183641.85,36124.0,53867.0,13.53,21.16,69.05,49.12,133.18,7.63
01115,Saint Clair County,AL,168752.79,273969.54,53558.0,76980.0,14.18,22.09,62.35,43.73,123.93,7.91
01117,Shelby County,AL,211097.05,353456.06,70879.0,102861.0,13.4,21.33,67.44,45.12,130.95,7.93
01121,Talladega County,AL,96882.72,177817.31,37911.0,55578.0,11.5,19.86,83.54,46.6,153.16,8.36
01123,Tallapoosa County,AL,151190.95,267359.16,39051.0,60578.0,17.43,27.4,76.84,55.13,143.91,9.97
01125,Tuscaloosa County,AL,149849.97,229856.29,47868.0,67379.0,14.09,21.18,53.39,40.76,111.58,7.09
01127,Walker County,AL,109973.83,165827.96,37305.0,57993.0,13.27,17.75,50.79,55.46,107.99,4.48
01133,Winston County,AL,129440.92,188900.87,36497.0,58945.0,15.96,19.9,45.94,61.51,101.29,3.93
02020,Anchorage Borough,AK,319654.67,404316.73,77791.0,103780.0,18.49,24.19,26.49,33.41,74.46,5.69
02090,Fairbanks North Star Borough,AK,229707.51,307601.68,70881.0,92086.0,14.59,20.74,33.91,29.92,84.7,6.15
02110,Juneau Borough,AK,341061.94,445832.97,82892.0,105304.0,18.52,26.28,30.72,27.04,80.3,7.76
02122,Kenai Peninsula Borough,AK,227095.16,323461.45,62025.0,82655.0,16.48,24.29,42.43,33.26,96.46,7.82
02130,Ketchikan Gateway Borough,AK,250826.91,362967.7,65314.0,92939.0,17.28,24.25,44.71,42.3,99.6,6.96
02150,Kodiak Island Borough,AK,297082.8,363151.71,67515.0,92237.0,19.8,24.44,22.24,36.62,68.61,4.64
04001,Apache County,AZ,152407.45,320622.55,31072.0,43939.0,22.08,45.3,110.37,41.41,190.17,23.22
04003,Cochise County,AZ,151904.88,261099.38,43451.0,60975.0,15.74,26.58,71.88,40.33,137.08,10.85
04005,Coconino County,AZ,287484.93,618583.88,51955.0,74564.0,24.9,51.5,115.17,43.52,196.79,26.6
04007,Gila County,AZ,193610.96,398145.87,41346.0,59678.0,21.08,41.42,105.64,44.34,183.65,20.34
04009,Graham County,AZ,164961.1,283976.63,44169.0,64504.0,16.81,27.33,72.15,46.04,137.45,10.52
04012,La Paz County,AZ,136297.24,271217.46,34835.0,51062.0,17.61,32.97,98.99,46.58,174.47,15.36
04013,Maricopa County,AZ,225058.68,480846.9,56017.0,90919.0,18.08,32.83,113.65,62.31,194.7,14.75
04015,Mohave County,AZ,165078.98,348276.36,40360.0,61016.0,18.41,35.44,110.98,51.18,191.0,17.03
04017,Navajo County,AZ,179135.79,395003.08,37658.0,54293.0,21.41,45.17,120.5,44.17,204.15,23.76
04019,Pima County,AZ,178245.31,355686.19,47107.0,71993.0,17.03,30.67,99.55,52.83,175.24,13.64
04021,Pinal County,AZ,166826.78,383197.4,50888.0,81817.0,14.76,29.08,129.7,60.78,216.83,14.32
04023,Santa Cruz County,AZ,134865.53,279216.44,34893.0,57125.0,17.4,30.34,107.03,63.71,185.56,12.95
04025,Yavapai County,AZ,242301.56,505248.72,47220.0,74247.0,23.1,42.25,108.52,57.24,187.62,19.15
04027,Yuma County,AZ,131744.58,271429.53,40426.0,64906.0,14.67,25.96,106.03,60.56,184.18,11.29
05001,Arkansas County,AR,101554.51,116668.22,41179.0,54613.0,11.1,13.26,14.88,32.62,58.46,2.16
05003,Ashley County,AR,71241.39,93133.5,39871.0,54257.0,8.04,10.66,30.73,36.08,80.32,2.61
05005,Baxter County,AR,138725.91,227615.73,36902.0,55893.0,16.92,25.28,64.08,51.46,126.31,8.36
05007,Benton County,AR,164327.81,364808.33,60294.0,92077.0,12.27,24.6,122.0,52.71,206.21,12.33
05009,Boone County,AR,121902.46,219579.2,40909.0,57376.0,13.41,23.76,80.13,40.25,148.45,10.35
05013,Calhoun County,AR,103078.98,132054.71,40526.0,60117.0,11.45,13.64,28.11,48.34,76.7,2.19
05015,Carroll County,AR,140240.26,257107.55,37587.0,50886.0,16.79,31.37,83.33,35.38,152.88,14.57
05017,Chicot County,AR,114860.48,114522.27,29968.0,41816.0,17.25,17.0,-0.29,39.54,37.53,-0.25
05019,Clark County,AR,100213.07,156973.43,37856.0,52380.0,11.91,18.6,56.64,38.37,116.06,6.69
05021,Clay County,AR,60534.78,117374.56,35324.0,53417.0,7.71,13.64,93.9,51.22,167.44,5.93
05023,Cleburne County,AR,152015.22,243965.75,43913.0,55796.0,15.58,27.14,60.49,27.06,121.36,11.56
05025,Cleveland County,AR,123932.78,152096.13,44123.0,62279.0,12.64,15.16,22.72,41.15,69.28,2.52
05027,Columbia County,AR,118985.17,149373.03,38057.0,54388.0,14.07,17.05,25.54,42.91,73.16,2.98
05029,Conway County,AR,105392.45,164813.09,43702.0,63127.0,10.85,16.21,56.38,44.45,115.7,5.35
05031,Craighead County,AR,133040.26,210654.76,42460.0,58784.0,14.1,22.25,58.34,38.45,118.4,8.14
05033,Crawford County,AR,121113.87,199121.24,46545.0,62606.0,11.71,19.75,64.41,34.51,126.77,8.03
05035,Crittenden County,AR,114295.56,159431.51,37371.0,51600.0,13.77,19.18,39.49,38.07,92.4,5.42
05037,Cross County,AR,98928.31,150378.58,39132.0,54428.0,11.38,17.15,52.01,39.09,109.67,5.77
05039,Dallas County,AR,121415.88,136265.18,33352.0,49043.0,16.39,17.25,12.23,47.05,54.8,0.86
05041,Desha County,AR,87975.76,111485.71,30987.0,46736.0,12.78,14.81,26.72,50.82,74.79,2.03
05043,Drew County,AR,107358.13,155844.29,39339.0,55221.0,12.28,17.52,45.16,40.37,100.23,5.24
05045,Faulkner County,AR,157246.46,244050.55,51157.0,72916.0,13.83,20.78,55.2,42.53,114.07,6.94
05051,Garland County,AR,130139.53,244177.14,37723.0,59915.0,15.53,25.3,87.63,58.83,158.8,9.77
05055,Greene County,AR,113490.2,189485.73,43996.0,61949.0,11.61,18.99,66.96,40.81,130.29,7.38
05059,Hot Spring County,AR,108395.52,172875.87,39851.0,58401.0,12.24,18.38,59.49,46.55,119.98,6.13
05061,Howard County,AR,86412.73,148735.67,33199.0,50330.0,11.72,18.35,72.12,51.6,137.41,6.63
05063,Independence County,AR,114273.69,161413.78,38241.0,56616.0,13.45,17.7,41.25,48.05,94.83,4.25
05067,Jackson County,AR,72756.43,105953.13,32571.0,47377.0,10.05,13.88,45.63,45.46,100.87,3.83
05069,Jefferson County,AR,54059.81,89836.3,36990.0,51205.0,6.58,10.89,66.18,38.43,129.21,4.31
05071,Johnson County,AR,103638.15,177537.26,35877.0,52979.0,13.0,20.8,71.3,47.67,136.28,7.8
05075,Lawrence County,AR,77476.81,130731.35,34808.0,51374.0,10.02,15.8,68.74,47.59,132.74,5.78
05077,Lee County,AR,80162.77,111486.62,28481.0,38287.0,12.67,18.08,39.08,34.43,91.83,5.41
05079,Lincoln County,AR,87208.87,123259.6,40216.0,54158.0,9.76,14.13,41.34,34.67,94.95,4.37
05085,Lonoke County,AR,148648.48,218623.41,56240.0,75131.0,11.9,18.07,47.07,33.59,102.86,6.17
05087,Madison County,AR,125641.51,258169.56,41007.0,59646.0,13.79,26.87,105.48,45.45,183.42,13.08
05091,Miller County,AR,113458.15,172438.24,39005.0,53529.0,13.09,20.0,51.98,37.24,109.63,6.91
05093,Mississippi County,AR,61111.02,105938.23,34888.0,52924.0,7.88,12.43,73.35,51.7,139.11,4.54
05097,Montgomery County,AR,94272.16,184824.32,37813.0,51291.0,11.22,22.37,96.05,35.64,170.42,11.15
05103,Ouachita County,AR,74304.13,108585.55,37987.0,55644.0,8.8,12.11,46.14,46.48,101.57,3.31
05105,Perry County,AR,99775.83,164889.58,43020.0,59602.0,10.44,17.17,65.26,38.54,127.95,6.74
05107,Phillips County,AR,55410.35,52061.27,28224.0,38969.0,8.84,8.29,-6.04,38.07,29.6,-0.54
05109,Pike County,AR,97781.0,179188.29,36266.0,52643.0,12.14,21.13,83.25,45.16,152.77,9.0
05111,Poinsett County,AR,84928.32,135455.87,32756.0,52688.0,11.67,15.96,59.49,60.85,119.99,4.29
05113,Polk County,AR,99779.02,178659.65,34723.0,47544.0,12.93,23.33,79.06,36.92,146.97,10.4
05115,Pope County,AR,129323.46,200934.49,41074.0,61509.0,14.17,20.28,55.37,49.75,114.31,6.11
05117,Prairie County,AR,85996.91,137885.12,39518.0,57689.0,9.79,14.84,60.34,45.98,121.16,5.04
05119,Pulaski County,AR,145732.11,202774.84,46473.0,66706.0,14.11,18.87,39.14,43.54,91.92,4.76
05121,Randolph County,AR,93825.98,153546.96,34730.0,54352.0,12.16,17.54,63.65,56.5,125.73,5.38
05123,Saint Francis County,AR,72759.92,88188.54,31625.0,44215.0,10.36,12.38,21.2,39.81,67.18,2.03
05125,Saline County,AR,163591.63,245786.54,56926.0,80628.0,12.93,18.92,50.24,41.64,107.23,5.99
05127,Scott County,AR,94728.42,141735.68,36028.0,48770.0,11.83,18.04,49.62,35.37,106.38,6.21
05129,Searcy County,AR,90615.68,178172.42,30427.0,41124.0,13.4,26.9,96.62,35.16,171.21,13.49
05131,Sebastian County,AR,125262.21,193619.25,41452.0,62153.0,13.6,19.34,54.57,49.94,113.2,5.74
05135,Sharp County,AR,104645.16,155000.72,32095.0,48226.0,14.68,19.95,48.12,50.26,104.31,5.28
